"","Grid","X","Y","Year"
"1",1038,4897914.64073819,4486503.9469214,"06/07/2018"
"2",1170,4922914.64073819,4411503.9469214,"07/06/2018"
"3",1264,5022914.64073819,4361503.9469214,"25/06/2018"
"4",1271,5197914.64073819,4361503.9469214,"25/07/2018"
"5",1307,4947914.64073819,4336503.9469214,"27/09/2009"
"6",1311,5047914.64073819,4336503.9469214,"06/06/2018"
"7",1318,5222914.64073819,4336503.9469214,"05/06/2018"
"8",1357,5072914.64073819,4311503.9469214,"25/09/2018"
"9",1398,5022914.64073819,4286503.9469214,"08/08/2018"
"10",1404,5172914.64073819,4286503.9469214,"31/07/2018"
"11",1438,4947914.64073819,4261503.9469214,"19/06/2018"
"12",1446,5147914.64073819,4261503.9469214,"27/09/2018"
"13",1483,4947914.64073819,4236503.9469214,"13/06/2018"
"14",1485,4997914.64073819,4236503.9469214,"29/06/2018"
"15",1491,5147914.64073819,4236503.9469214,"18/06/2018"
"16",1530,5022914.64073819,4211503.9469214,"25/07/2018"
"17",1534,5122914.64073819,4211503.9469214,"02/07/2018"
"18",1562,4597914.64073819,4186503.9469214,"22/09/2018"
"19",1578,5122914.64073819,4186503.9469214,"07/09/2018"
"20",1614,4872914.64073819,4161503.9469214,"19/07/2018"
"21",1706,4747914.64073819,4111503.9469214,"29/07/2012"
"22",1711,5147914.64073819,4111503.9469214,"26/08/2018"
"23",1755,5122914.64073819,4086503.9469214,"25/08/2018"
"24",1760,5247914.64073819,4086503.9469214,"25/07/2018"
"25",1789,4597914.64073819,4061503.9469214,"22/08/2018"
"26",1796,4772914.64073819,4061503.9469214,"27/08/2018"
"27",1797,4797914.64073819,4061503.9469214,"27/08/2018"
"28",1810,5322914.64073819,4061503.9469214,"30/08/2009"
"29",1848,4797914.64073819,4036503.9469214,"04/09/2018"
"30",1860,5272914.64073819,4036503.9469214,"21/07/2015"
"31",1910,5122914.64073819,4011503.9469214,"17/06/2009"
"32",1918,5322914.64073819,4011503.9469214,"20/08/2009"
"33",1964,5222914.64073819,3986503.9469214,"15/09/2018"
"34",1965,5247914.64073819,3986503.9469214,"14/09/2018"
"35",2058,5247914.64073819,3936503.9469214,"15/08/2012"
"36",2060,5297914.64073819,3936503.9469214,"09/09/2018"
"37",2106,5197914.64073819,3911503.9469214,"02/08/2018"
"38",2107,5222914.64073819,3911503.9469214,"04/09/2015"
"39",2108,5247914.64073819,3911503.9469214,"28/08/2012"
"40",2111,5322914.64073819,3911503.9469214,"16/07/2018"
"41",2112,5347914.64073819,3911503.9469214,"25/12/2018"
"42",2157,5222914.64073819,3886503.9469214,"16/06/2009"
"43",2158,5247914.64073819,3886503.9469214,"20/05/2015"
"44",2174,3572914.64073819,3861503.9469214,"23/07/2018"
"45",2196,5072914.64073819,3861503.9469214,"17/05/2018"
"46",2201,5222914.64073819,3861503.9469214,"23/07/2012"
"47",2202,5247914.64073819,3861503.9469214,"31/08/2015"
"48",2245,5072914.64073819,3836503.9469214,"12/08/2012"
"49",2246,5097914.64073819,3836503.9469214,"28/05/2018"
"50",2250,5197914.64073819,3836503.9469214,"16/05/2018"
"51",2253,5272914.64073819,3836503.9469214,"20/07/2018"
"52",2256,5347914.64073819,3836503.9469214,"10/09/2012"
"53",2258,5397914.64073819,3836503.9469214,"04/06/2015"
"54",2289,4822914.64073819,3811503.9469214,"23/07/2015"
"55",2297,5147914.64073819,3811503.9469214,"21/09/2018"
"56",2300,5222914.64073819,3811503.9469214,"16/07/2018"
"57",2303,5297914.64073819,3811503.9469214,"21/08/2015"
"58",2304,5322914.64073819,3811503.9469214,"01/07/2009"
"59",2342,4997914.64073819,3786503.9469214,"23/08/2012"
"60",2343,5022914.64073819,3786503.9469214,"23/05/2018"
"61",2344,5047914.64073819,3786503.9469214,"23/05/2018"
"62",2350,5197914.64073819,3786503.9469214,"16/06/2012"
"63",2351,5222914.64073819,3786503.9469214,"09/08/2018"
"64",2356,5347914.64073819,3786503.9469214,"18/08/2015"
"65",2358,5397914.64073819,3786503.9469214,"26/06/2018"
"66",2377,4472914.64073819,3761503.9469214,"10/07/2009"
"67",2390,5022914.64073819,3761503.9469214,"06/07/2018"
"68",2392,5072914.64073819,3761503.9469214,"01/05/2015"
"69",2395,5147914.64073819,3761503.9469214,"17/06/2018"
"70",2400,5272914.64073819,3761503.9469214,"28/07/2009"
"71",2402,5322914.64073819,3761503.9469214,"25/11/2018"
"72",2403,5347914.64073819,3761503.9469214,"19/08/2015"
"73",2404,5372914.64073819,3761503.9469214,"20/05/2012"
"74",2423,4322914.64073819,3736503.9469214,"16/05/2018"
"75",2436,4722914.64073819,3736503.9469214,"03/07/2018"
"76",2438,5022914.64073819,3736503.9469214,"31/08/2018"
"77",2439,5047914.64073819,3736503.9469214,"22/08/2018"
"78",2447,5247914.64073819,3736503.9469214,"15/08/2018"
"79",2449,5297914.64073819,3736503.9469214,"19/09/2018"
"80",2473,4322914.64073819,3711503.9469214,"26/06/2018"
"81",2474,4347914.64073819,3711503.9469214,"14/07/2015"
"82",2491,5097914.64073819,3711503.9469214,"27/08/2009"
"83",2494,5172914.64073819,3711503.9469214,"26/05/2012"
"84",2495,5197914.64073819,3711503.9469214,"08/05/2012"
"85",2496,5222914.64073819,3711503.9469214,"04/09/2018"
"86",2501,5347914.64073819,3711503.9469214,"28/09/2018"
"87",2526,4322914.64073819,3686503.9469214,"02/08/2018"
"88",2534,4597914.64073819,3686503.9469214,"07/09/2015"
"89",2541,5022914.64073819,3686503.9469214,"29/08/2018"
"90",2542,5047914.64073819,3686503.9469214,"30/07/2009"
"91",2544,5097914.64073819,3686503.9469214,"20/05/2012"
"92",2549,5222914.64073819,3686503.9469214,"05/09/2018"
"93",2550,5247914.64073819,3686503.9469214,"09/07/2009"
"94",2585,4472914.64073819,3661503.9469214,"23/07/2015"
"95",2592,5022914.64073819,3661503.9469214,"25/07/2009"
"96",2603,5297914.64073819,3661503.9469214,"18/08/2012"
"97",2604,5322914.64073819,3661503.9469214,"16/08/2012"
"98",2636,4347914.64073819,3636503.9469214,"12/08/2012"
"99",2643,4522914.64073819,3636503.9469214,"20/07/2018"
"100",2645,4572914.64073819,3636503.9469214,"27/08/2018"
"101",2648,5047914.64073819,3636503.9469214,"30/06/2015"
"102",2652,5147914.64073819,3636503.9469214,"23/08/2018"
"103",2653,5172914.64073819,3636503.9469214,"29/05/2018"
"104",2669,3247914.64073819,3611503.9469214,"14/08/2015"
"105",2699,4597914.64073819,3611503.9469214,"28/08/2018"
"106",2708,5197914.64073819,3611503.9469214,"30/07/2009"
"107",2709,5222914.64073819,3611503.9469214,"10/07/2018"
"108",2710,5247914.64073819,3611503.9469214,"21/06/2015"
"109",2711,5272914.64073819,3611503.9469214,"28/08/2015"
"110",2712,5297914.64073819,3611503.9469214,"04/07/2018"
"111",2723,3247914.64073819,3586503.9469214,"24/05/2018"
"112",2744,4472914.64073819,3586503.9469214,"22/09/2018"
"113",2760,5147914.64073819,3586503.9469214,"30/05/2012"
"114",2762,5197914.64073819,3586503.9469214,"10/08/2015"
"115",2763,5222914.64073819,3586503.9469214,"21/08/2009"
"116",2797,4347914.64073819,3561503.9469214,"31/07/2018"
"117",2816,5147914.64073819,3561503.9469214,"08/08/2018"
"118",2817,5172914.64073819,3561503.9469214,"21/08/2018"
"119",2819,5222914.64073819,3561503.9469214,"20/06/2012"
"120",2821,5272914.64073819,3561503.9469214,"04/09/2015"
"121",2843,3522914.64073819,3536503.9469214,"17/07/2012"
"122",2844,3547914.64073819,3536503.9469214,"17/07/2012"
"123",2846,3597914.64073819,3536503.9469214,"12/07/2012"
